independent,unMember,capital_code,region_code,subregion_code,language_code,latitude,longitude,landlocked,area,population,borders_count,car_side_code,timezones_count,continents_code,startOfWeek_code
1,1,1,1,1,1,15.0,39.0,0,117600.0,5352000,3,1,1,1,1
1,1,2,1,2,2,6.0,12.0,0,475442.0,26545864,6,1,1,1,1
1,1,3,2,3,3,42.5,19.3,0,13812.0,621718,5,1,1,2,1
1,1,4,3,4,4,-17.7134,178.065,0,18272.0,896444,0,2,1,3,1
1,1,5,1,5,5,34.0,9.0,0,163610.0,11818618,2,1,1,1,1
1,1,6,1,6,6,14.0,-14.0,0,196722.0,16743930,5,1,1,1,1
0,0,7,4,7,7,-54.5,-37.0,0,3903.0,30,0,1,1,4,1
1,1,8,5,8,8,-10.0,-55.0,0,8515767.0,212559409,10,1,4,5,2
1,1,9,2,9,9,47.26666666,9.53333333,1,160.0,38137,2,1,1,2,1
1,1,10,5,10,10,23.0,-102.0,0,1964375.0,128932753,3,1,3,6,1
0,0,11,6,11,5,31.9,35.2,0,6220.0,4803269,3,1,1,7,2
0,0,12,5,10,11,72.0,-40.0,0,2166086.0,56367,0,1,4,6,1
0,0,13,5,10,7,19.3,166.633333,0,34.2,300,0,1,3,3,1
1,1,14,1,2,12,2.0,10.0,0,28051.0,1402985,2,1,1,1,1
0,0,15,5,12,6,16.25,-61.583333,0,1628.0,400132,0,1,1,6,1
0,0,16,1,6,7,-15.95,-5.72,0,394.0,53192,0,2,1,1,1
1,1,17,6,11,13,39.0,35.0,0,783562.0,84339067,8,1,1,8,1
1,1,18,1,2,14,15.0,19.0,1,1284000.0,16425859,6,1,1,1,1
1,1,19,5,13,10,15.0,-86.5,0,112492.0,9904608,3,1,1,6,1
1,1,20,2,14,9,47.33333333,13.33333333,1,83871.0,8917205,8,1,1,2,1
1,1,21,2,3,15,46.0,25.0,0,238391.0,19286123,5,1,1,2,1
1,1,22,1,2,6,-1.0,11.75,0,267668.0,2225728,3,1,1,1,1
1,1,23,1,15,16,-22.0,17.0,0,825615.0,2540916,4,2,1,1,1
1,1,24,1,1,17,-2.0,30.0,1,26338.0,12952209,4,1,1,1,1
1,1,25,5,12,7,13.25,-61.2,0,389.0,110947,0,2,1,6,1
1,1,26,2,3,18,43.0,25.0,0,110879.0,6927288,5,1,1,2,1
1,1,27,5,8,10,4.0,-72.0,0,1141748.0,50882884,5,1,1,5,1
1,1,28,5,8,19,4.0,-56.0,0,163820.0,586634,3,2,1,5,1
